State,Date,Total,Category
Arizona,2023-12-03,235892871.3,Beverages
Arkansas,2019-01-12,58049432.2,Beverages
Arkansas,2019-03-11,58551066.5,Beverages
Arkansas,2019-06-10,67349815.0,Beverages
Arkansas,2019-08-12,59101265.4,Beverages
Arkansas,2019-10-11,59494648.0,Beverages
Arkansas,2019-10-13,63679442.7,Beverages
Arkansas,2019-10-20,59248420.7,Beverages
Arkansas,2019-10-27,57654429.7,Beverages
Arkansas,2019-11-17,58265258.6,Beverages
Arkansas,2019-11-24,59690104.199999996,Beverages
Arkansas,2019-12-15,58035927.199999996,Beverages
Arkansas,2019-12-22,61147230.4,Beverages
Arkansas,2019-12-29,58290655.300000004,Beverages
Arkansas,2020-01-03,61187919.900000006,Beverages
Arkansas,2020-01-11,61173664.6,Beverages
Arkansas,2020-01-19,56718755.8,Beverages
Arkansas,2020-01-26,55036033.800000004,Beverages
Arkansas,2020-02-02,58093735.4,Beverages
Arkansas,2020-02-08,70280652.3,Beverages
Arkansas,2020-02-16,56891695.800000004,Beverages
Arkansas,2020-02-23,55979415.7,Beverages
Arkansas,2020-03-05,65718901.800000004,Beverages
Arkansas,2020-03-15,69299261.8,Beverages
Arkansas,2020-03-22,66672577.7,Beverages
Arkansas,2020-03-29,59930918.1,Beverages
Arkansas,2020-04-10,67850338.3,Beverages
Arkansas,2020-04-19,62510706.4,Beverages
Arkansas,2020-04-26,63303777.0,Beverages
Arkansas,2020-05-01,56942259.1,Beverages
Arkansas,2020-05-04,63610285.4,Beverages
Arkansas,2020-05-07,76591712.69999999,Beverages
Arkansas,2020-05-17,67059258.8,Beverages
Arkansas,2020-05-24,69534675.3,Beverages
Arkansas,2020-05-31,67420352.5,Beverages
Arkansas,2020-06-09,70544924.5,Beverages
Arkansas,2020-06-12,60541395.6,Beverages
Arkansas,2020-06-14,70697389.6,Beverages
Arkansas,2020-06-21,70943346.3,Beverages
Arkansas,2020-06-28,69082980.10000001,Beverages
Arkansas,2020-07-06,70882885.1,Beverages
Arkansas,2020-07-19,71755452.19999999,Beverages
Arkansas,2020-07-26,70313070.5,Beverages
Arkansas,2020-08-03,63599449.800000004,Beverages
Arkansas,2020-08-11,63896293.099999994,Beverages
Arkansas,2020-08-16,72517548.3,Beverages
Arkansas,2020-08-23,70270226.89999999,Beverages
Arkansas,2020-08-30,69321236.8,Beverages
Arkansas,2020-09-02,58021179.800000004,Beverages
Arkansas,2020-09-08,71170811.7,Beverages
Arkansas,2020-09-13,71051325.39999999,Beverages
Arkansas,2020-09-20,68622671.7,Beverages
Arkansas,2020-09-27,64905092.0,Beverages
Arkansas,2020-10-05,66725736.300000004,Beverages
Arkansas,2020-10-18,64996749.3,Beverages
Arkansas,2020-10-25,62410736.4,Beverages
Arkansas,2020-11-10,67105075.199999996,Beverages
Arkansas,2020-11-15,63680879.199999996,Beverages
Arkansas,2020-11-22,64469134.6,Beverages
Arkansas,2020-11-29,62518777.7,Beverages
Arkansas,2020-12-01,57854513.5,Beverages
Arkansas,2020-12-04,63528109.2,Beverages
Arkansas,2020-12-07,71426614.9,Beverages
Arkansas,2020-12-13,62551317.900000006,Beverages
Arkansas,2020-12-20,63362784.599999994,Beverages
Arkansas,2020-12-27,63040187.6,Beverages
Arkansas,2021-01-08,76563569.5,Beverages
Arkansas,2021-01-17,61751788.5,Beverages
Arkansas,2021-01-24,59692624.3,Beverages
Arkansas,2021-01-31,60629838.0,Beverages
Arkansas,2021-02-05,70271403.1,Beverages
Arkansas,2021-02-14,63052100.0,Beverages
Arkansas,2021-02-21,56331935.5,Beverages
Arkansas,2021-02-28,65438139.6,Beverages
Arkansas,2021-03-01,61067744.9,Beverages
Arkansas,2021-03-10,105087223.4,Beverages
Arkansas,2021-03-14,73830082.4,Beverages
Arkansas,2021-03-21,71996986.8,Beverages
Arkansas,2021-03-28,64565241.0,Beverages
Arkansas,2021-04-04,68515096.7,Beverages
Arkansas,2021-04-07,80327966.2,Beverages
Arkansas,2021-04-18,67525813.3,Beverages
Arkansas,2021-04-25,67632913.5,Beverages
Arkansas,2021-05-09,77173311.0,Beverages
Arkansas,2021-05-12,95357790.4,Beverages
Arkansas,2021-05-16,69891687.0,Beverages
Arkansas,2021-05-23,71888897.9,Beverages
Arkansas,2021-05-30,72688735.7,Beverages
Arkansas,2021-06-06,73746656.1,Beverages
Arkansas,2021-06-13,75043823.1,Beverages
Arkansas,2021-06-20,78781472.0,Beverages
Arkansas,2021-06-27,74788922.2,Beverages
Arkansas,2021-07-02,62729411.6,Beverages
Arkansas,2021-07-03,67470844.8,Beverages
Arkansas,2021-07-11,98227444.3,Beverages
Arkansas,2021-07-18,77954785.8,Beverages
Arkansas,2021-07-25,76727707.1,Beverages
Arkansas,2021-08-08,76788499.5,Beverages
Arkansas,2021-08-15,78200291.60000001,Beverages
Arkansas,2021-08-22,75360901.6,Beverages
Arkansas,2021-08-29,76041638.5,Beverages
Arkansas,2021-09-05,71602055.80000001,Beverages
Arkansas,2021-09-19,74662067.8,Beverages
Arkansas,2021-09-26,70631842.19999999,Beverages
Arkansas,2021-10-01,62054714.199999996,Beverages
