Date,State,Total,Year,Month,WeekOfYear,DayOfWeek,IsHoliday,Lag_1,Lag_7,Lag_14,Rolling_Mean_7,Rolling_Std_7,Rolling_Mean_30
2020-08-02,Indiana,140947398.0,2020,8,31,6,0,140947398.0,143814236.2,126769642.9,144266096.64285713,2515096.7885816772,129938092.25
2020-08-09,Indiana,140947398.0,2020,8,32,6,0,140947398.0,143264040.20000002,126769642.9,143935147.75714284,2804675.398578385,130638418.82
2020-08-16,Indiana,142549612.9,2020,8,33,6,0,140947398.0,146009547.1,126769642.9,143440871.44285715,2680287.1497599455,131425569.45666668
2020-08-23,Indiana,140948982.5,2020,8,34,6,0,142549612.9,146009547.1,134296407.5,142717933.64285713,2551358.3853921043,132422711.43
2020-08-30,Indiana,141686410.79999998,2020,8,35,6,0,140948982.5,146009547.1,143051261.0,142100342.74285716,2106180.1224814705,133256974.07
2020-09-06,Indiana,141686410.79999998,2020,9,36,6,0,141686410.79999998,146675199.0,138437085.70000002,141387658.7142857,619484.793699469,134091236.71000001
2020-09-13,Indiana,136944933.1,2020,9,37,6,0,141686410.79999998,140947398.0,138437085.70000002,140815878.0142857,1805455.5132887792,134805175.45666665
2020-09-20,Indiana,136103330.4,2020,9,38,6,0,136944933.1,140947398.0,143814236.2,140123868.35714287,2529712.8827202334,135423144.98
2020-09-27,Indiana,134674308.6,2020,9,39,6,0,136103330.4,140947398.0,143264040.20000002,139227712.72857141,3209219.004515731,135993480.44333333
2020-10-04,Indiana,134674308.6,2020,10,40,6,0,134674308.6,142549612.9,146009547.1,138102669.25714284,3230916.496253968,136563815.90666667
2020-10-11,Indiana,134674308.6,2020,10,41,6,0,134674308.6,140948982.5,146009547.1,137206287.27142856,3179637.859447367,136405759.15
2020-10-18,Indiana,129107106.0,2020,10,42,6,0,134674308.6,141686410.79999998,146009547.1,135409243.72857141,3732297.180806024,136084283.64666665
2020-10-25,Indiana,127075612.7,2020,10,43,6,0,129107106.0,141686410.79999998,146675199.0,133321986.85714285,3722238.224992639,136396996.19666666
2020-11-01,Indiana,127075612.7,2020,11,44,6,0,127075612.7,136944933.1,140947398.0,131912083.94285715,3981352.606422201,136709708.74666664
2020-11-08,Indiana,127075612.7,2020,11,45,6,0,127075612.7,136103330.4,140947398.0,130622409.98571429,3857657.023555745,137022421.29666668
2020-11-15,Indiana,130455323.3,2020,11,46,6,0,127075612.7,134674308.6,140947398.0,130019697.79999998,3424332.2462627008,137129565.1
2020-11-22,Indiana,133432689.89999999,2020,11,47,6,0,130455323.3,134674308.6,142549612.9,129842323.7,3165417.0439426964,137351666.66666666
2020-11-29,Indiana,128159889.39999999,2020,11,48,6,0,133432689.89999999,134674308.6,140948982.5,128911692.38571429,2364289.0041399538,137398008.21666667
2020-12-06,Indiana,128159889.39999999,2020,12,49,6,0,128159889.39999999,129107106.0,141686410.79999998,128776375.72857143,2378305.4904476684,137444349.76666668
2020-12-13,Indiana,128019493.2,2020,12,50,6,0,128159889.39999999,127075612.7,141686410.79999998,128911215.79999998,2290961.421325926,137235119.29
2020-12-20,Indiana,133118910.80000001,2020,12,51,6,0,128019493.2,127075612.7,136944933.1,129774544.10000001,2601567.9118963047,136904040.95
2020-12-27,Indiana,130197785.9,2020,12,52,6,0,133118910.80000001,127075612.7,136103330.4,130220568.84285714,2313412.7035589144,136629397.62333333
2021-01-03,Indiana,130197785.9,2021,1,53,6,0,130197785.9,130455323.3,134674308.6,130183777.78571428,2311103.789536636,136354754.29666665
2021-01-10,Indiana,130197785.9,2021,1,1,6,0,130197785.9,133432689.89999999,134674308.6,129721648.64285715,1825606.1661921209,135900872.62
2021-01-17,Indiana,128577177.39999999,2021,1,2,6,0,130197785.9,128159889.39999999,134674308.6,129781261.21428572,1772139.6731354208,135411310.52666667
2021-01-24,Indiana,124676972.2,2021,1,3,6,0,128577177.39999999,128159889.39999999,129107106.0,129283701.61428571,2599193.304948539,134700224.69666666
2021-01-31,Indiana,127354830.9,2021,1,4,6,0,124676972.2,128019493.2,127075612.7,129188749.85714285,2664396.2256429554,134078400.82333332
2021-02-07,Indiana,127354830.9,2021,2,5,6,0,127354830.9,133118910.80000001,127075612.7,128365309.87142858,2072227.5983998103,133456576.95
2021-02-14,Indiana,125762666.6,2021,2,6,6,0,127354830.9,130197785.9,127075612.7,127731721.39999999,2096445.6612145775,132759492.53666666
2021-02-21,Indiana,124536406.8,2021,2,7,6,0,125762666.6,130197785.9,130455323.3,126922952.95714286,2078473.9184569549,132212459.49666667
2021-02-28,Indiana,129668749.5,2021,2,8,6,0,124536406.8,130197785.9,133432689.89999999,126847376.32857142,1944873.948009449,131836504.54666667
2021-03-07,Indiana,129668749.5,2021,3,9,6,0,129668749.5,128577177.39999999,128159889.39999999,127003315.2,2140596.659277489,131460549.59666666
2021-03-14,Indiana,150372214.5,2021,3,10,6,0,129668749.5,124676972.2,128159889.39999999,130674064.10000001,8886935.3986455,131721302.98333333
2021-03-21,Indiana,150386321.4,2021,3,11,6,0,150372214.5,127354830.9,128019493.2,133964277.02857141,11369865.109843653,132035880.94666667
2021-03-28,Indiana,130329187.60000001,2021,3,12,6,0,150386321.4,127354830.9,133118910.80000001,134389185.12857142,11134842.196676644,131657306.84
2021-04-04,Indiana,135173535.4,2021,4,13,6,0,130329187.60000001,125762666.6,130197785.9,135733594.95714286,10467844.281287743,131440210.99333334
2021-04-11,Indiana,135173535.4,2021,4,14,6,0,135173535.4,124536406.8,130197785.9,137253184.75714287,9275659.503443839,131381164.40333334
2021-04-18,Indiana,135305520.5,2021,4,15,6,0,135173535.4,129668749.5,130197785.9,138058437.75714287,8736493.065237565,131354570.74
2021-04-25,Indiana,138778033.3,2021,4,16,6,0,135305520.5,129668749.5,128577177.39999999,139359764.0142857,7918697.967197808,131491361.56333333
